#
ToothTime,Time
ms,ms
MARK 000
31.927,31.927
32.211,64.139
31.335,95.474
31.818,127.292
32.894,160.186
32.376,192.562
32.938,225.500
32.589,258.090
33.028,291.117
34.029,325.146
32.345,357.492
32.994,390.486
32.978,423.464
33.218,456.682
33.985,490.667
32.710,523.377
33.456,556.833
33.810,590.643
33.710,624.353
33.432,657.785
33.337,691.122
32.978,724.100
33.342,757.442
32.516,789.958
33.476,823.434
34.263,857.697
33.362,891.059
32.451,923.510
33.830,957.340
33.158,990.498
33.222,1023.719
32.671,1056.390
33.097,1089.487
32.306,1121.793
32.515,1154.308
31.698,1186.006
31.654,1217.660
31.863,1249.523
32.296,1281.818
33.317,1315.135
32.162,1347.297
33.318,1380.615
34.337,1414.952
33.417,1448.369
34.168,1482.537
35.016,1517.553
33.252,1550.805
34.121,1584.926
32.874,1617.800
32.869,1650.669
33.018,1683.687
33.044,1716.730
31.882,1748.612
32.236,1780.849
31.469,1812.318
31.161,1843.479
31.374,1874.853
31.931,1906.785
32.180,1938.965
32.678,1971.643
31.878,2003.521
32.346,2035.867
32.131,2067.998
32.838,2100.836
33.556,2134.392
32.764,2167.156
33.635,2200.791
32.904,2233.695
32.231,2265.926
32.745,2298.671
32.517,2331.188
33.801,2364.989
33.940,2398.929
34.149,2433.078
33.476,2466.554
34.349,2500.903
33.784,2534.687
34.090,2568.777
35.034,2603.811
34.073,2637.884
33.875,2671.759
33.805,2705.564
34.452,2740.016
33.506,2773.522
34.003,2807.526
34.423,2841.948
34.810,2876.759
33.979,2910.738
33.247,2943.985
33.307,2977.292
32.799,3010.091
31.534,3041.625
32.101,3073.726
32.645,3106.371
31.693,3138.064
32.520,3170.584
32.386,3202.970
31.913,3234.883
31.363,3266.246
31.868,3298.114
32.315,3330.429
31.458,3361.887
32.769,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
0.000,3394.656
