#
Not MAP,MAPwindow,isRPM,Sensor,MAP ADC,RPM,Tooth No,MAP
Flag,Flag,Flag,#,ADC,rpm,tooth,kPa
1.000,NaN,1.000,NaN,NaN,2099.000,NaN,NaN
0.000,1.000,1.000,0.000,326.000,2099.000,NaN,89.668
0.000,1.000,1.000,0.000,323.000,2099.000,NaN,88.935
0.000,1.000,1.000,0.000,317.000,2099.000,NaN,87.468
0.000,1.000,1.000,0.000,312.000,2099.000,NaN,86.246
0.000,1.000,1.000,0.000,309.000,2099.000,NaN,85.513
0.000,1.000,1.000,0.000,304.000,2099.000,NaN,84.291
0.000,1.000,1.000,0.000,304.000,2099.000,NaN,84.291
0.000,1.000,1.000,0.000,302.000,2099.000,NaN,83.803
0.000,1.000,1.000,0.000,299.000,2099.000,NaN,83.069
0.000,1.000,1.000,0.000,296.000,2099.000,NaN,82.336
0.000,1.000,1.000,0.000,296.000,2099.000,NaN,82.336
0.000,1.000,1.000,0.000,295.000,2099.000,NaN,82.092
0.000,1.000,1.000,0.000,296.000,2099.000,NaN,82.336
0.000,1.000,1.000,0.000,296.000,2099.000,NaN,82.336
0.000,1.000,1.000,0.000,295.000,2099.000,NaN,82.092
0.000,1.000,1.000,0.000,293.000,2099.000,NaN,81.603
0.000,1.000,1.000,0.000,292.000,2099.000,NaN,81.359
0.000,1.000,1.000,0.000,292.000,2099.000,NaN,81.359
0.000,1.000,1.000,0.000,291.000,2099.000,NaN,81.114
0.000,1.000,1.000,0.000,286.000,2099.000,NaN,79.892
0.000,1.000,1.000,0.000,286.000,2099.000,NaN,79.892
0.000,1.000,1.000,0.000,287.000,2099.000,NaN,80.137
0.000,1.000,1.000,0.000,288.000,2099.000,NaN,80.381
0.000,1.000,1.000,0.000,286.000,2099.000,NaN,79.892
0.000,1.000,1.000,0.000,287.000,2099.000,NaN,80.137
0.000,1.000,1.000,0.000,288.000,2099.000,NaN,80.381
0.000,1.000,1.000,0.000,286.000,2099.000,NaN,79.892
0.000,1.000,1.000,0.000,286.000,2099.000,NaN,79.892
0.000,1.000,1.000,0.000,289.000,2099.000,NaN,80.626
0.000,1.000,1.000,0.000,289.000,2099.000,NaN,80.626
0.000,1.000,1.000,0.000,294.000,2099.000,NaN,81.848
0.000,1.000,1.000,0.000,295.000,2099.000,NaN,82.092
0.000,1.000,1.000,0.000,295.000,2099.000,NaN,82.092
0.000,1.000,1.000,0.000,296.000,2099.000,NaN,82.336
0.000,1.000,1.000,0.000,300.000,2099.000,NaN,83.314
0.000,1.000,1.000,0.000,299.000,2099.000,NaN,83.069
0.000,1.000,1.000,0.000,300.000,2099.000,NaN,83.314
0.000,1.000,1.000,0.000,303.000,2099.000,NaN,84.047
0.000,1.000,1.000,0.000,303.000,2099.000,NaN,84.047
0.000,1.000,1.000,0.000,305.000,2099.000,NaN,84.536
0.000,1.000,1.000,0.000,308.000,2099.000,NaN,85.269
0.000,1.000,1.000,0.000,311.000,2099.000,NaN,86.002
0.000,1.000,1.000,0.000,315.000,2099.000,NaN,86.979
0.000,1.000,1.000,0.000,316.000,2099.000,NaN,87.224
0.000,0.000,1.000,0.000,319.000,2099.000,NaN,87.957
0.000,0.000,1.000,0.000,323.000,2099.000,NaN,88.935
0.000,0.000,1.000,0.000,325.000,2099.000,NaN,89.423
0.000,0.000,1.000,0.000,332.000,2099.000,NaN,91.134
0.000,0.000,1.000,0.000,335.000,2099.000,NaN,91.867
0.000,0.000,1.000,0.000,339.000,2099.000,NaN,92.845
0.000,0.000,1.000,0.000,344.000,2099.000,NaN,94.066
