#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
TriggerTime,Time
ms,ms
29.736,5948.974
28.204,5977.178
27.934,6005.113
29.649,6034.761
30.154,6064.916
30.218,6095.134
30.767,6125.901
28.976,6154.877
28.619,6183.496
30.099,6213.595
29.421,6243.016
29.648,6272.664
28.459,6301.123
28.004,6329.126
29.708,6358.834
27.935,6386.770
27.098,6413.867
28.667,6442.534
29.993,6472.527
28.185,6500.712
27.514,6528.227
29.202,6557.429
29.094,6586.523
29.584,6616.107
29.379,6645.487
29.650,6675.137
30.181,6705.318
30.093,6735.411
29.939,6765.350
30.369,6795.718
30.166,6825.884
30.786,6856.670
29.320,6885.990
29.003,6914.993
28.950,6943.943
29.460,6973.403
29.088,7002.491
29.354,7031.844
29.408,7061.252
29.840,7091.092
27.853,7118.946
26.972,7145.918
28.480,7174.397
28.282,7202.679
28.577,7231.256
29.353,7260.609
29.354,7289.963
29.666,7319.629
28.874,7348.503
29.215,7377.718
27.893,7405.611
27.343,7432.954
28.981,7461.936
27.511,7489.447
26.754,7516.201
28.319,7544.520
29.173,7573.693
27.746,7601.439
27.443,7628.883
29.099,7657.981
29.507,7687.488
30.310,7717.798
28.110,7745.908
27.012,7772.920
28.610,7801.530
29.918,7831.448
28.557,7860.005
28.358,7888.362
29.998,7918.360
29.175,7947.535
29.130,7976.666
29.404,8006.069
29.918,8035.988
28.313,8064.301
27.738,8092.040
29.443,8121.482
28.720,8150.202
28.645,8178.847
30.442,8209.290
28.829,8238.119
28.168,8266.287
29.896,8296.184
30.005,8326.188
30.047,8356.235
29.821,8386.057
30.159,8416.216
30.118,8446.334
30.357,8476.691
28.824,8505.515
28.581,8534.096
28.313,8562.409
28.674,8591.083
27.467,8618.550
26.941,8645.491
28.497,8673.988
28.799,8702.787
28.863,8731.650
29.818,8761.469
27.962,8789.431
27.218,8816.648
28.776,8845.425
28.158,8873.582
28.090,8901.672
29.794,8931.466
28.408,8959.874
27.858,8987.732
29.511,9017.244
30.318,9047.563
0.000,9047.563
0.000,9047.563
0.000,9047.563
0.000,9047.563
0.000,9047.563
0.000,9047.563
0.000,9047.563
0.000,9047.563
0.000,9047.563
0.000,9047.563
