//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-20-2022
//--  Time: 21:28
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 9.1(C), 	Resistance 1: 3810 Ohms 
//--    Temperature2: 23.5(C), 	Resistance 2: 2150 Ohms 
//--    Temperature3: 41(C), 	Resistance 3: 1110 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
204	135.02	1350 	0.996
205	134.70	1347 	1.001
206	134.39	1344 	1.006
207	134.08	1341 	1.011
208	133.77	1338 	1.016
209	133.46	1335 	1.021
210	133.15	1331 	1.025
211	132.84	1328 	1.030
212	132.54	1325 	1.035
213	132.23	1322 	1.040
214	131.93	1319 	1.045
215	131.63	1316 	1.050
216	131.33	1313 	1.055
217	131.03	1310 	1.060
218	130.73	1307 	1.064
219	130.43	1304 	1.069
220	130.14	1301 	1.074
221	129.84	1298 	1.079
222	129.55	1295 	1.084
223	129.25	1293 	1.089
224	128.96	1290 	1.094
225	128.67	1287 	1.099
226	128.38	1284 	1.104
227	128.09	1281 	1.108
228	127.81	1278 	1.113
229	127.52	1275 	1.118
230	127.23	1272 	1.123
231	126.95	1270 	1.128
232	126.67	1267 	1.133
233	126.38	1264 	1.138
234	126.10	1261 	1.143
235	125.82	1258 	1.147
236	125.54	1255 	1.152
237	125.26	1253 	1.157
238	124.99	1250 	1.162
239	124.71	1247 	1.167
240	124.44	1244 	1.172
241	124.16	1242 	1.177
242	123.89	1239 	1.182
243	123.61	1236 	1.187
244	123.34	1233 	1.191
245	123.07	1231 	1.196
246	122.80	1228 	1.201
247	122.53	1225 	1.206
248	122.26	1223 	1.211
249	122.00	1220 	1.216
250	121.73	1217 	1.221
251	121.46	1215 	1.226
252	121.20	1212 	1.230
253	120.93	1209 	1.235
254	120.67	1207 	1.240
255	120.41	1204 	1.245
256	120.14	1201 	1.250
257	119.88	1199 	1.255
258	119.62	1196 	1.260
259	119.36	1194 	1.265
260	119.11	1191 	1.270
261	118.85	1188 	1.274
262	118.59	1186 	1.279
263	118.33	1183 	1.284
